Ime jedi,Cena,Promocijska cena
Zelenjavna enolončnica z omako pistou,15.845,15.67
Pecivo z malinami in pudingom,14.9083,14.9083
Polnjeni lignji s pršutom in sirom,9,9
Kumare v omaki,8.61,8.61
Grška krompirjeva musaka,15.2483,15.1483
Breskove rezine,9.3625,9.3625
Bučkin wrap s tuninim nadevom,13.88,13.88
Hitri skutini cmoki s sadjem,6.5225,6.42
Tiramisu semifreddo,7.85375,7.85375
Kremna limonina pita brez peke,4.07256,4.07256
Zelenjavna lazanja,14.13,13.7817
Skutina zvezda s špinačo,9.71494,9.71494
Jogurtova panakota z jagodičevjem,7.86442,7.46942
Polnjeni lignji v paradižnikovi omaki,10,10
Polnjene paprike brez mesa,14.885,14.885
Stročji fižol s krompirjem; ocvirki in smetano,5,5
Polpeti iz prosene kaše z zelenjavo,9.4325,9.4325
Rolada z bučkami in mletim mesom,7.3725,7.3725
Raffaello cheesecake,12.1475,12.1475
Hitra slivova pita,11.2008,11.2008
Blitva s krompirjem in česnom,5,5
Sataraš z rižem,7.9475,7.9475
Zavitek z vanilijevo kremo in borovnicami,6.74167,6.74167
Sivkin sirup,6,6
Beli fižol z blitvo in sirom,11.9962,11.9962
Poletna torta z malinami,7.74344,7.44719
Lahka musaka z bučkami,14.6075,14.6075
Lignji po tržaško s tatarsko omako,10.8537,10.7538
Jogurtove rezine s sadjem in piškoti (brez peke),6.64517,6.64517
Vložena zelenjava,7.44,7.04
Čokoladni sladoled brez strojčka,3.27375,3.27375
Paprike s krompirjem v pečici,6.0145,5.942
Piščančje kroglice v zelenjavni omaki,11.995,11.995
Preprosto jogurtovo pecivo z marelicami,6.03,6.03
Stročji fižol z zaseko in kislo smetano,5,5
Poletni krompirjev narastek,7.3725,7.2725
Marelična marmelada z manj sladkorja,5,5
Sladica v kozarcu z jagodami in rabarbaro,11.176,11.176
Bučkine rezine z jogurtom in sirom,9.25583,8.95417
Klafuti z breskvami in malinami,10.4405,10.4405
Enolončnica s papriko; mletim mesom in rižem,11.3573,11.3573
Krompirjeva solata s čebulo in slanino,6.73925,6.73925
Hitra bučkina pita s skuto,8,8
Hitro skutino pecivo z borovnicami in drobljencem,15.33,15.33
Poletna zelenjavna mineštra,12.5175,11.7925
Čokoladna torta brez peke,4,4
Zapečene bučke in krompir,9.3725,9.3725
Najhitreje pripravljeno testo za pico,6.11,6.11
Pistacijeva krema s češnjami v kozarcu,11.8167,11.8167
Tunina jajčna pita brez testa,5.27,5.27
Pasticciotto,12.125,12.125
Zapečeni njoki v paradižnikovi omaki z mascarponejem,11.165,11.165
Čokoladna torta brez moke s češnjami in smetano,6.13563,6.13563
Hrustljavo pečen mladi krompir,5,4.838
Ražnjiči s svinjino in papriko,5.55625,5.55625
Sipin golaž z domačimi rezanci,14.0523,14.0523
Jagodne rezine brez peke,7.7039,7.3879
Torta St. Honore (iz MasterChefa),14.3354,14.3354
Opera torta (iz MasterChefa),23,23
Paris Brest (iz MasterChefa),18.19,17.99
Medena torta medovik (iz MasterChefa),6.53163,6.53163
Kvašeni masleni rogljički,10.2207,10.2107
Polnjene paprike iz pečice,9.3725,9.3725
Mediteranske piščančje kroglice z jogurtovo pomako,14.7588,14.2088
Polpeti iz blitve in krompirja,10.3725,10.3725
Češnjeve kremne rezine,13.2046,13.2046
Zapečene palačinke z mletim mesom in zelenjavo,16.0752,16.0752
Piščančji zrezki v kremni omaki s sušenimi paradižniki,7.04887,7.04887
Hitro pecivo z jagodami,7.1316,7.1316
Listnati zavitek z marmelado in mascarponejem,8.50333,8.31333
Babičino pecivo s sadjem,11.0775,11.0775
Hitre ovsene rezine s skuto in paradižniki,9.079,9.079
Ocvrte mesne polpete,9.24812,9.24812
Špargljeva juha s krompirjem,6.3725,6.3725
Krhke košarice z mascarpone kremo in sadjem,11.488,11.488
Pečene marinirane perutničke,8.165,8.115
Jagodna pita z mrežo,8.55,8.55
Testenine s paradižnikom in burrato,7,7
Češnjeva pita z maskarponejevo kremo,12.1425,12.1425
Langaš z jogurtom,7.11,7.11
Bezgov sirup z jagodami,6,6
Piščančji file v smetanovi omaki s špinačo in suhimi paradižniki,9.98998,9.63997
Jagodna kupola,7.29067,7.29067
V pečici pečena vratovina s krompirjem,6,6
Borovničeve cheesecake rezine,11.2831,11.2831
Pomladna skleda s šparglji,16.1425,15.9925
Hitri pita kruhki,3.75462,3.75462
Clafoutis (klafuti) z jagodami,8.55896,8.55896
Bezgova panakota z limoninim sirupom,6.0852,6.0852
Palačinke brez mleka,4.9675,4.7425
Rolada z vanilijevo kremo in jagodami,10.2361,10.2361
Sofficini,14.7475,14.225
Skutin narastek (brez moke),10.44,10.44
Testenine z morskimi sadeži,9.3725,9.3725
Krhka torta z malinami,6.93225,6.93225
Piščančji gyros,18.2559,18.1809
Pecivo s piškoti; pudingom in višnjami,4.56725,4.56725
Golaž s kruhovimi cmoki,21.3212,21.06
Testeninska solata,10.2474,9.57487
Tunin namaz z jajci,5.89,5.89
Dušena vratovina v omaki s papriko,9.87475,9.87475
Borovničev tiramisu v kozarcu,9.2982,9.2982
Aperol Spritz,3.3549,3.0994
Domače lepinje,5.11,5.11
Jagodna panakota,9.1753,8.9753
Donavski valovi,11.2139,11.1472
Špargljeva rižota,9.6575,9.6575
Mesna pita s krompirjem,8.943,8.943
