Ime izdelka,Znamka,Cena,Promocijska cena,Kolicina,Enota,Kategorija
Negazirana naravna mineralna voda,DANA,0.49,0,1.0,l, NEGAZIRANE VODE 
Trajno polnomastno Alpsko mleko,ALPSKO MLEKO,1.59,1.09,1.0,l, TRAJNO MLEKO
Naravna gazirana mineralna voda,RADENSKA,0.86,0,1.0,l, GAZIRANE VODE 
Negazirana mineralna voda,ZALA,0.59,0,1.0,l,ENIPUKS ENVOGALB ENTENRETNI ;EČAJIP ;EDOV ; EDOV ENARIZAGEN
Negazirana naravna mineralna voda,RADENSKA,0.49,0,1.0,l, NEGAZIRANE VODE 
Banane Bonita,S&Z BREZ BZ,1.49,0,0.25,kos, BANANE IN AGRUMI
Naravna gazirana mineralna voda,RADENSKA,0.99,0,1.0,l, GAZIRANE VODE 
Naravna gazirana mineralna voda,RADENSKA,0.76,0,1.0,l, GAZIRANE VODE 
Naravna mineralna voda,DONAT,1.99,0,1.0,l, GAZIRANE VODE 
Naravna mineralna voda,DONAT,1.29,0,1.0,l, GAZIRANE VODE 
Pivo Union,UNION SVETLO,1.37,0,1.0,l, PIVO
Pivo Laško Zlatorog,LAŠKO ZLATOROG,1.37,0,1.0,l, PIVO
Trajno pol posneto Alpsko mleko,ALPSKO MLEKO,1.59,0,1.0,l, TRAJNO MLEKO
Mleta kava Classic,BARCAFFE,3.35,0,1.0,g, KLASIČNA TURŠKA KAVA
Trajno polnomastno Pomursko mleko,POMURSKE MLEKARNE,1.49,0,1.0,l, TRAJNO MLEKO
Mleta kava Classic,BARCAFFE,1.69,0,1.0,g, KLASIČNA TURŠKA KAVA
Naravna gazirana mineralna voda,RADENSKA,0.86,0,1.0,l, GAZIRANE VODE 
Negazirana naravna mineralna voda,DANA,0.46,0,1.0,l, NEGAZIRANE VODE 
Pivo Laško Zlatorog,LAŠKO ZLATOROG,7.29,0,1.0,l, PIVO
Beli kristalni sladkor,AGRAGOLD,1.59,0,1000.0,g, BELI SLADKOR
Mleta kava Classic,BARCAFFE,8.69,7.29,1.0,g, KLASIČNA TURŠKA KAVA
Trajno pol posneto Alpsko mleko brez laktoze,ALPSKO MLEKO,1.89,0,1.0,l, TRAJNO MLEKO
Naravna gazirana voda,JAMNICA,0.89,0,1.0,l, GAZIRANE VODE 
Gazirana pijača,COCA COLA,1.63,1.09,1.0,l, GAZIRANE PIJAČE Z OKUSOM COLE
Negazirana naravna mineralna voda,DANA,0.69,0,1.0,l, NEGAZIRANE VODE 
Nektar,FRUCTAL,0.99,0,1.0,l, JABOLKO
Točeni cvetlični med,MEDEX,0.36,0,1.0,g, MED 
Negazirana naravna mineralna voda,RADENSKA,0.69,0,1.0,l, NEGAZIRANE VODE 
