Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Zelenjavna enolončnica z omako pistou,M.J.,15,40,55,1276,4,315.98,1.8,11.0,2.21,1.36,0.0,zelenjavna-enoloncnica-z-omako-pistou
Pecivo z malinami in pudingom,Su.S.,20,40,60,1290,6,1260.01,6.38,60.2,2.67,0.74,0.3,torta-z-malinami-in-pudingom
Polnjeni lignji s pršutom in sirom,Sanja Sirk,15,35,50,1525,3,579.02,15.07,2.62,6.46,0.09,0.0,polnjeni-lignji-s-prsutom-in-sirom
Kumare v omaki,M. J.,10,30,40,1116,4,145.44,0.16,3.97,1.59,0.24,0.0,kumare-v-omaki
Grška krompirjeva musaka,M. J.,20,90,110,2125,6,654.54,7.66,9.0,9.33,1.02,0.04,grska-krompirjeva-musaka
Breskove rezine,Su.S.,35,55,90,836,8,910.4,2.34,30.44,9.15,0.93,0.16,breskove-rezine
Bučkin wrap s tuninim nadevom,Su.S.,25,25,50,886,1,384.47,6.62,3.17,4.97,0.55,0.28,buckin-wrap-s-tuninim-nadevom
Hitri skutini cmoki s sadjem,M. J.,55,10,65,925,4,463.34,5.15,17.01,1.37,0.77,0.09,hitri-skutini-cmoki-s-sadjem
Tiramisu semifreddo,M. J.,40,240,280,1712,10,1307.58,9.39,38.02,12.58,1.55,0.48,tiramisu-semifreddo
Kremna limonina pita brez peke,Su.S.,15,0,15,696,8,1946.77,16.39,34.01,28.68,0.82,5.0,kremna-limonina-pita-brez-peke
Zelenjavna lazanja,Sanja Sirk,30,65,95,2167,6,1112.61,14.11,30.47,8.68,1.34,0.07,socna-zelenjavna-lazanja
Skutina zvezda s špinačo,Sanja Sirk,80,35,115,1940,8,659.61,8.63,24.75,1.38,1.73,0.12,skutina-zvezda-s-spinaco
Jogurtova panakota z jagodičevjem,Kristina Turk,15,20,35,1029,6,470.78,6.36,19.69,0.45,0.61,0.0,jogurtova-panakota-z-jagodicevjem
Polnjeni lignji v paradižnikovi omaki,M. J.,40,20,60,1948,4,485.72,8.18,5.79,5.67,0.58,0.06,polnjeni-kalamari-v-paradiznikovi-omaki
Polnjene paprike brez mesa,Su.S.,30,60,90,1729,4,329.16,1.58,12.9,1.87,1.4,0.0,polnjene-paprike-brez-mesa
Stročji fižol s krompirjem; ocvirki in smetano,M.J.,10,20,30,542,4,346.94,1.51,10.99,3.39,2.14,0.0,strocji-fizol-s-krompirjem-in-ocvirki
Polpeti iz prosene kaše z zelenjavo,M. J.,10,35,45,1365,4,779.27,5.09,22.28,7.64,2.42,0.25,polpeti-iz-prosene-kase-z-zelenjavo
Rolada z bučkami in mletim mesom,Su.S.,20,30,50,778,4,788.81,12.99,1.85,13.48,0.38,0.38,rolada-z-buckami-in-mletim-mesom
Raffaello cheesecake,Su.S.,45,5,50,1415,8,1868.45,5.58,35.72,31.02,2.66,0.09,raffaello-cheesecake
Hitra slivova pita,Su.S.,20,45,65,943,12,1217.13,3.44,40.93,12.04,1.0,0.22,hitra-slivova-pita
Blitva s krompirjem in česnom,M. J.,10,35,45,720,4,213.64,1.06,10.62,0.0,1.59,0.0,blitva-s-krompirjem-in-cesnom-2
Sataraš z rižem,Sanja Sirk,10,40,50,744,4,122.13,0.66,6.11,0.0,0.66,0.0,sataras-z-rizem
Zavitek z vanilijevo kremo in borovnicami,M. J.,15,35,50,1256,6,1130.56,5.11,45.48,6.23,1.02,0.1,zavitek-z-vanilijevo-kremo-in-borovnicami
Sivkin sirup,M. J.,15,10,25,1144,1,785.88,0.0,48.07,0.0,0.05,0.0,sivkin-sirup
Beli fižol z blitvo in sirom,M. J.,10,15,25,469,4,423.34,6.6,9.51,3.53,2.12,0.0,beli-fizol-z-blitvo-in-sirom
Poletna torta z malinami,M.J.,30,10,40,1854,8,1432.06,7.62,25.57,22.79,2.78,0.0,poletna-torta-z-malinami
Lahka musaka z bučkami,M. J.,15,110,125,1871,8,696.38,9.23,5.88,10.96,0.52,0.12,lahka-musaka-z-buckami
Lignji po tržaško s tatarsko omako,M. J.,15,20,35,1564,4,751.61,6.45,10.69,10.96,0.28,0.0,lignji-po-trzasko-s-tatarsko-omako
Jogurtove rezine s sadjem in piškoti (brez peke),Sanja Sirk,30,15,45,1646,6,600.4,9.07,26.41,0.0,1.33,0.0,jogurtove-rezine-s-sadjem-in-piskoti-brez-peke
Vložena zelenjava,Sanja Sirk,50,15,65,1049,10,0.0,0.0,0.0,0.0,0.0,0.0,vlozena-zelenjava
Čokoladni sladoled brez strojčka,Su.S.,10,0,10,378,4,2021.75,24.96,39.23,24.07,1.78,8.92,cokoladni-sladoled-brez-strojcka
Paprike s krompirjem v pečici,Sanja Sirk,15,45,60,825,4,244.26,1.03,12.63,0.0,1.46,0.0,paprike-s-krompirjem-v-pecici
