Ime sestavine, Kolicina, Enota
glava kitajskega zelja , 0.25 , kos
glave rdečega zelja , 0.0625 , kos
mladi čebulici (beli in zeleni del) , 0.5 , kos
korenčka , 0.5 , kos
podolgovata kumara , 0.25 , kos
zelene soje (edamame) , 0.25 , kos
teriyaki omake , 1.5 , l
riževega kisa , 0.015 , l
sojine omake , 0.25 , kos
sezamovega olja , 0.25 , kos
česna v prahu , 0.125 , kos
mletega ingverja , 0.0625 , kos
čebule v prahu , 0.125 , kos
soli , 0.125 , kos
mleti poper (po okusu) , 1 , kos
rjavega sladkorja , 0.25 , kos
repičnega olja , 0.03 , l
manjši šopek svežega koriandra (po želji) , 1 , kos
praženih sezamovih semen , 0.5 , kos
