Ime sestavine,Kolicina,Enota
borovnic (če uporabimo zamrznjene; jih predhodno ne odtalimo),66.66666666666667,g
sladkorja,10.0,g
koruznega škroba,3.3333333333333335,g
drobno naribane sveže limonine lupinice,0.08333333333333333,kos
limoninega soka,0.08333333333333333,kos
mletega cimeta (po želji),0.020833333333333332,kos
masla,0.08333333333333333,kos
moke,31.666666666666668,g
sladkorja,0.16666666666666666,kos
soli,0.020833333333333332,kos
hladnega masla,20.833333333333332,g
od 100 do 150 ml hladne vode,1,kos
rumenjak za premaz,0.08333333333333333,kos
sladkor v prahu za posip (po želji),1,kos
