Ime sestavine,Kolicina,Enota
suhega sadja (rozine; suhe fige; suhe marelice; suhe slive; datlji ipd.),0.125,kos
kandiranega sadja (rdeče in zelene češnje; kandirana lupinica),0.125,kos
pomarančnega soka,0.01,l
1-2 žlici ruma ali brandyja (po želji),1,kos
zmehčanega; na sobno temperaturo ogretega masla,15.0,g
rjavega sladkorja (lahko uporabimo tudi beli sladkor),18.75,g
jajci,0.25,kos
vanilijeve arome,0.125,kos
naribane limonine ali pomarančne lupinice,0.125,kos
medu,3.75,g
olja,0.25,kos
moke,25.0,g
pecilnega praška,0.125,kos
mletega cimeta,0.0625,kos
soli,0.03125,kos
oreščkov (lešniki; mandlji; orehi),0.125,kos
jabolčnega ali pomarančnega soka (ali mleko),0.0075,l
