Ime sestavine,Kolicina,Enota
temne čokolade,10.0,g
masla,10.0,g
soli,0.08333333333333333,kos
sladkorja,12.5,g
jajci,0.16666666666666666,kos
moke,10.0,g
pecilnega praška,0.0625,kos
kremnega sira (sirni namaz),20.833333333333332,g
kisle smetane,15.0,g
sladkorja,4.166666666666667,g
vanilijevega sladkorja,0.08333333333333333,kos
jajce,0.08333333333333333,kos
višenj v kompotu,25.0,g
višnjevega soka (kompot),0.008333333333333333,l
sladkorja,0.16666666666666666,kos
koruznega škroba (gustin),1.25,g
temne čokolade (za posip),4.166666666666667,g
