Ime sestavine,Kolicina,Enota
ostre moke,33.333333333333336,g
pecilnega praška,0.041666666666666664,kos
soli,0.08333333333333333,kos
hladnega; na kocke narezanega masla,16.666666666666668,g
sladkorja,8.333333333333334,g
rumenjaka,0.16666666666666666,kos
kisle smetane,0.16666666666666666,kos
izkoščičenih češenj,83.33333333333333,g
sladkorja,5.0,g
vanilijevega sladkorja,0.08333333333333333,kos
mletega cimeta (po želji),0.08333333333333333,kos
2-3 žlice krušnih drobtin,1,kos
sladkor v prahu za posip,1,kos
