Ime sestavine, Kolicina, Enota
ovsenih piškotov (uporabimo lahko tudi navadne maslene ali čokoladne piškote) , 18.75 , g
masla , 5.0 , g
zrelih češenj , 62.5 , g
sladkorja , 10.0 , g
vode , 0.09375 , l
bio limona (sok in lupinica)) , 0.125 , kos
pšeničnega zdroba , 18.75 , g
nekaj kapljic rdeče barve za živila (po želji) , 1 , kos
mleka , 0.1 , l
vanilijevega pudinga , 0.25 , kos
zmehčanega masla , 15.625 , g
sladkorja v prahu , 12.5 , g
smetane za stepanje , 0.0375 , l
sladkorja v prahu , 2.5 , g
utrjevalca za smetano (kremfix) , 0.125 , kos
