Ime sestavine, Kolicina, Enota
400 - 500 ml mlačnega mleka , 1 , kos
svežega kvasa , 0.08333333333333333 , kos
sladkorja , 0.08333333333333333 , kos
moke , 41.666666666666664 , g
soli , 0.08333333333333333 , kos
olja , 0.004166666666666667 , l
zmehčanega masla , 10.416666666666666 , g
česna , 0.08333333333333333 , kos
soli , 0.08333333333333333 , kos
paprike v prahu (sladka; ostra; dimljena) , 0.041666666666666664 , kos
jajce , 0.08333333333333333 , kos
mleti mak in nariban sir za posip , 1 , kos
