Ime sestavine, Kolicina, Enota
polnozrnatih piškotov , 25.0 , g
stopljenega masla , 10.625 , g
mletega cimeta , 0.125 , kos
drobno naribane (bio) limonine lupinice , 0.125 , kos
limoninega soka , 0.125 , kos
sirnega namaza (kremni sir) , 100.0 , g
kisle smetane , 30.0 , g
jajca , 0.5 , kos
sladkorja , 25.0 , g
naribane limonine lupinice , 0.125 , kos
limoninega soka , 0.25 , kos
vanilijevega ekstrakta , 0.25 , kos
sliv , 37.5 , g
sok ene pomaranče , 1 , kos
medu , 0.125 , kos
žlička mletega cimeta ali cimetova skorjica , 1 , kos
