Ime sestavine,Kolicina,Enota
poljubnih piškotov (masleni; digestive; čokoladni; polnozrnati ipd.),13.333333333333334,g
sladkorja,0.8333333333333334,g
soli,0.08333333333333333,kos
masla,4.166666666666667,g
kremnega sira; ogretega na sobno temperaturo),37.5,g
mascarponeja; ogretega na sobno temperaturo,18.75,g
sladkorja,16.666666666666668,g
vanilijeve paste (lahko tudi aroma; ekstrakt),0.08333333333333333,kos
sveže iztisnjenega limoninega soka,0.005,l
drobno naribana lupinica 1 -2 limon,1,kos
velika jajca,0.25,kos
