Ime sestavine, Kolicina, Enota
olivno olje , 1 , kos
manjši čebuli , 1.0 , kos
česna , 1.0 , kos
mletega govejega mesa , 225.0 , g
rdeča paprika , 0.5 , kos
večje korenje , 0.5 , kos
stebli zelene , 1.0 , kos
temnega piva , 0.1 , l
čilija v prahu , 1.0 , kos
mlete kumine , 0.5 , kos
mletega koriandra , 0.25 , kos
mletega cimeta , 0.25 , kos
cimetove palčke , 0.25 , kos
sol po okusu , 1 , kos
rebro temne čokolade (vsaj 70 % delež čokolade) , 1 , kos
paradižnika v koščkih (neto približno 250 g) , 0.5 , kos
pasiranega paradižnika , 125.0 , g
rdečega fižola (neto približno 250 g) , 0.5 , kos
koruze (neto približno 150 g) , 0.5 , kos
voda ali goveja jušna osnova (kocka) po potrebi , 1 , kos
