Ime sestavine,Kolicina,Enota
bio oljčno olje NATUR AKTIV,1,kos
čebula; drobno sesekljana,0.25,kos
česna; drobno sesekljana,0.5,kos
čičerike,0.25,kos
leče HAPPY HARVEST,0.125,kos
graha,0.125,kos
korenček; narezan na kose,0.25,kos
češnjevih paradižnikov; narezanih na kose,1.25,kos
rdeča paprika; narezana na kose,0.25,kos
zelenjavne jušne osnove,0.25,kos
paradižnikove mezge CARLONI,0.25,kos
malo mlete sladke paprike LE GUSTO,1,kos
malo kajenskega popra,1,kos
sol in poper po okusu,1,kos
polenta HAPPY HARVEST,1,kos
