Ime sestavine, Kolicina, Enota
čokoladnih maslenih piškotov , 16.666666666666668 , g
masla , 7.083333333333333 , g
smetane za stepanje , 0.041666666666666664 , l
mešanice za utrjevanje stepene smetane (kremfix) , 0.08333333333333333 , kos
sladkorja v prahu , 2.5 , g
vanilijevega sladkorja , 0.08333333333333333 , kos
kremnega sira , 29.166666666666668 , g
mleka , 0.06666666666666667 , l
čokoladnega pudinga v prahu , 0.16666666666666666 , kos
sladkorja , 8.333333333333334 , g
čokoladne mrvice za dekoracijo , 1 , kos
