Ime sestavine, Kolicina, Enota
vroče vode , 0.006 , l
nesladkanega kakava v prahu , 2.0 , g
zrnc instant kave , 0.025 , kos
temne čokolade s 50 - 70 % kakava , 13.0 , g
dobro ohlajene sladke smetane , 0.024 , l
sladkorja , 0.1 , kos
velika jajca , 0.4 , kos
sladkorja , 10.0 , g
blagega rastlinskega olja , 0.005 , l
močne črne kave , 0.2 , kos
moke , 6.0 , g
nesladkanega kakava , 3.0 , g
pecilnega praška , 0.1 , kos
soli , 0.1 , kos
temne čokolade s 50 - 70 % kakava , 12.0 , g
sladke smetane , 0.012 , l
