Ime sestavine, Kolicina, Enota
moke , 20.0 , g
sladkorja , 16.666666666666668 , g
nesladkanega kakava v prahu , 4.166666666666667 , g
vanilijevega sladkorja , 0.16666666666666666 , kos
pecilnega praška , 0.08333333333333333 , kos
sode bikarbone , 0.08333333333333333 , kos
soli , 0.16666666666666666 , kos
jogurta ali pinjenca , 0.025 , l
olja , 0.01 , l
jajce , 0.16666666666666666 , kos
gozdnih sadežev , 66.66666666666667 , g
sladkorja , 8.333333333333334 , g
jagodnega; malinovega ali borovničevega pudinga (prašek) , 0.16666666666666666 , kos
masla , 6.666666666666667 , g
grškega jogurta , 41.666666666666664 , g
vanilijevega sladkorja , 0.16666666666666666 , kos
bele čokolade , 16.666666666666668 , g
lista želatine , 0.3333333333333333 , kos
smetane za stepanje , 0.020833333333333332 , l
temne čokolade , 16.666666666666668 , g
smetane za stepanje (ali kuhanje) , 0.016666666666666666 , l
sveži gozdni sadeži za okrasitev torte (po želji) , 1 , kos
