Ime sestavine, Kolicina, Enota
kristalnega sladkorja , 7.333333333333333 , g
jajci , 0.13333333333333333 , kos
rastlinskega olja , 0.005 , l
mleka , 0.007333333333333333 , l
moke , 5.666666666666667 , g
kakava v prahu , 1.2 , g
pecilnega praška , 0.13333333333333333 , g
soli , 0.06666666666666667 , kos
2-3 večji banani , 1 , kos
sladke smetane , 0.018666666666666668 , l
temne čokolade , 8.666666666666666 , g
list želatine , 0.06666666666666667 , kos
temne čokolade , 8.0 , g
rastlinskega olja , 2.0 , g
