Ime sestavine, Kolicina, Enota
srednje velikih jajc , 0.5 , kos
zmehčanega masla , 8.333333333333334 , g
sladkorja , 15.0 , g
vanilijevega sladkorja , 0.08333333333333333 , kos
krušnih drobtin , 0.16666666666666666 , kos
klementininega soka , 0.004166666666666667 , l
malo ruma ali rumove arome (po želji) , 1 , kos
temne čokolade , 8.333333333333334 , g
mletih mandljev , 12.5 , g
moke , 7.5 , g
drobno naribana klementinina lupinica , 1 , kos
soli , 0.08333333333333333 , kos
maslo in kakav v prahu ali ostra moka za pekač , 1 , kos
sladkor v prahu za posip , 1 , kos
