Ime sestavine, Kolicina, Enota
ovsenih kosmičev (zmiksanih v moko) , 31.75 , g
nesladkanega kakava v prahu , 6.25 , g
pecilnega praška , 0.125 , kos
sode bikarbone , 0.125 , kos
dober ščepec soli , 1 , kos
mletih lanenih semen; zmešanih s 6 žlicami vode , 0.5 , kos
sojinega mleka , 0.0625 , l
jabolčnega kisa , 0.25 , kos
lešnikovega masla (lahko tudi mandljevo; arašidovo ali iz indijskih oreščkov) , 32.5 , g
trsnega ali kokosovega sladkorja , 25.0 , g
vanilijevega ekstrakta , 0.25 , kos
1 zvrhana žlica čokoladnih beljakovin , 1 , kos
100 - 120 g temne čokolade (55 - 70 %) , 1 , kos
bele čokolade , 12.5 , g
praženi nasekljani lešniki (po želji) , 1 , kos
