Ime sestavine, Kolicina, Enota
zamrznjenih malin , 20.833333333333332 , g
2-3 žlici vode , 1 , kos
limoninega soka , 0.16666666666666666 , kos
datljevega sirupa , 0.16666666666666666 , kos
chia semen , 0.16666666666666666 , kos
ovsenih kosmičev , 26.666666666666668 , g
nerafiniranega trsnega ali kokosovega sladkorja (količino lahko po želji povišate na 150 g) , 20.0 , g
vanilijevega sladkorja , 0.16666666666666666 , kos
sode bikarbone , 0.16666666666666666 , kos
pecilnega praška , 0.3333333333333333 , kos
soli , 0.16666666666666666 , kos
nesladkanega kakava v prahu , 8.333333333333334 , g
jabolčne čežane , 15.0 , g
vanilijevega ekstrakta ali paste , 0.16666666666666666 , kos
sojinega ali kokosovega jogurta , 0.3333333333333333 , kos
sojinega mleka , 0.041666666666666664 , l
jabolčnega kisa , 0.3333333333333333 , kos
svežih malin , 2.0 , kos
kokosovega mleka (z deležem maščobe nad 80 %) ali 200 ml rastlinske smetane za stepanje , 0.16666666666666666 , kos
rdeče pese v prahu (po želji; za rdečo barvo kreme) , 0.16666666666666666 , kos
sladkorja v prahu (po želji; za bolj sladko kremo) , 0.3333333333333333 , kos
svežih malin in/ali liofilizirane maline , 2.0 , kos
