Ime sestavine, Kolicina, Enota
olje in sladkor v prahu za pekač , 1 , kos
jajca , 0.25 , kos
sladkorja , 6.666666666666667 , g
gladke moke , 8.333333333333334 , g
kakava v prahu , 1.6666666666666667 , g
lističev želatine , 1.6666666666666667 , g
drobno naribana lupinica ene pomaranče , 1 , kos
sveže stisnjenega pomarančnega soka , 0.020833333333333332 , l
sladkorja , 6.666666666666667 , g
sladke smetane za stepanje , 0.020833333333333332 , l
vanilijeve arome , 0.08333333333333333 , kos
kisle smetane , 16.666666666666668 , g
sladke smetane , 0.004166666666666667 , l
masla , 0.08333333333333333 , kos
medu , 0.16666666666666666 , kos
kakovostne temne čokolade , 8.333333333333334 , g
na tanke rezine narezana pomaranča , 0.041666666666666664 , kos
