Ime sestavine, Kolicina, Enota
jogurtova lončka zdroba , 0.25 , kos
jogurtova lončka mleka , 0.25 , kos
jogurtova lončka sladkorja , 0.25 , kos
jogurtova lončka mletih orehov , 0.25 , kos
Večje jajce , 0.125 , kos
večje jabolko (olupljeno in naribano) , 0.125 , kos
jogurtovega lončka olja , 0.0625 , kos
jogurtovega lončka kakava , 0.0625 , kos
pecilnega praška , 0.125 , kos
vanilijevega sladkorja , 0.25 , kos
mascarponeja , 31.25 , g
sladke smetane , 25.0 , g
sladkorja , 12.5 , g
mleti orehi za posip , 1 , kos
