Ime sestavine, Kolicina, Enota
olja , 0.5 , kos
gorčičnih semen , 0.25 , kos
semen kumina (orientalska kumina) , 0.125 , kos
velika čebula , 0.25 , kos
česna , 0.75 , kos
kos svežega ingverja (približno žlica naribanega) , 1 , kos
koriandra (stebla in listi) , 0.25 , kos
mletega kumina (orientalska kumina) , 0.25 , kos
mletega koriandra , 0.25 , kos
mlete kurkume , 0.125 , kos
mletega cimeta , 0.0625 , kos
mletega čilija (po želji tudi več ali manj) , 0.0625 , kos
malo mletega popra (po okusu) , 1 , kos
koščkov paradižnika (sveži ali iz konzerve) , 0.25 , kos
rdeče leče , 45.0 , g
srednje velika sladka krompirja , 0.5 , kos
polnomastnega kokosovega mleka (pločevinka) , 0.06 , l
sol po okusu , 1 , kos
sok polovice limete , 1 , kos
garam masale , 0.125 , kos
