Ime sestavine,Kolicina,Enota
olivnega olja,0.5,kos
manjša čebula (lahko tudi pol večje),0.25,kos
korenček,0.25,kos
steblo zelene (po želji),0.25,kos
mletega govejega mesa (pleče); lahko je tudi mešano mleto meso (pol svinjina; pol govedina),125.0,g
česna,0.5,kos
paradižnikovega koncentrata,0.5,kos
lovorjeva lista,0.5,kos
sesekljane paradižnikove sredice (lahko tudi pelati ali koščki paradižnika,0.25,kos
paradižnikove mezge,0.05,l
bazilika in origano po okusu,1,kos
sol in sveže mleti poper po okusu,1,kos
