Ime sestavine,Kolicina,Enota
zrelih paradižnikov,333.3333333333333,g
olivnega olja,0.013333333333333334,l
česna,1.0,kos
približno 1;5 žličke soli oziroma po okusu,1,kos
poljubne mediteranske začimbe (origano; bazilika; majaron ipd.),1,kos
malo mletega čilija (po želji),1,kos
enako velikih krompirjevih gomoljev z veliko vsebnostjo škroba (npr. Désirée),166.66666666666666,g
ostre moke,33.333333333333336,g
soli,0.16666666666666666,kos
sveže naribanega parmezana,16.666666666666668,g
veliko jajce (rahlo razžvrkljano),0.16666666666666666,kos
naribanega parmezana za posip,0.16666666666666666,kos
malo kakovostnega olivnega olja,1,kos
