Ime sestavine, Kolicina, Enota
na sobno temperaturo ogretega masla , 10.0 , g
sladkorja , 6.666666666666667 , g
vanilijevega sladkorja , 0.06666666666666667 , kos
jajca , 0.2 , kos
soli , 0.06666666666666667 , kos
moke , 11.333333333333334 , g
pecilnega praška , 0.1 , kos
nesladkanega kakav v prahu , 0.6666666666666666 , g
praška za vanilijev puding , 0.13333333333333333 , kos
sladkorja , 8.0 , g
mleka , 0.05 , l
zmehčanega masla , 13.333333333333334 , g
temne čokolade , 10.0 , g
sladke smetane , 0.01 , l
vloženih višenj (ali češenj) , 20.0 , g
