Ime sestavine,Kolicina,Enota
olivnega olja,0.3333333333333333,kos
mletega govejega mesa,83.33333333333333,g
srednje velika čebula,0.16666666666666666,kos
rdeča paprika,0.16666666666666666,kos
zelena paprika,0.16666666666666666,kos
česna,0.3333333333333333,kos
paradižnika v koščkih (1 pločevinka),66.66666666666667,g
pasiranega paradižnika (približno 450 ml),66.66666666666667,g
goveje jušne osnove,0.1,l
lovorjev list,0.16666666666666666,kos
nasekljanega peteršilja + dodatno za dekoracijo,0.3333333333333333,kos
sol in poper po okusu,1,kos
dolgozrnatega riža za zakuho,33.333333333333336,g
kisla smetana za serviranje,1,kos
