Ime sestavine,Kolicina,Enota
olja,0.5,kos
srednja čebula,0.25,kos
česna,0.5,kos
mletega mesa (goveje ali mešano),125.0,g
paradižnikovega koncentrata,0.5,kos
timijan po okusu (svež ali posušen),1,kos
origano po okusu (svež ali posušen),1,kos
sol in mleti poper (po okusu),1,kos
mlete paprike (sladka ali pekoča),0.25,kos
krompirja,175.0,g
podolgovati rdeči papriki,0.5,kos
goveje jušne osnove,0.125,l
paradižnika v koščkih,0.25,kos
kisla smetana za serviranje,1,kos
nasekljan peteršilj za serviranje (po želji),1,kos
