Ime sestavine,Kolicina,Enota
štruca starega kruha,0.25,kos
mleka,0.05,l
srednje velike čebule,1.0,kos
česna,0.5,kos
olje,1,kos
masla,0.25,kos
nasekljanega peteršilja,0.25,kos
jajci,0.5,kos
približno 4 žlice moke,1,kos
drobtine,1,kos
sol; poper; mešanica začimb (Vegeta),1,kos
mletega muškatnega oreščka,0.125,kos
govejega mesa (bočnik),250.0,g
čebule,250.0,g
česna,0.75,kos
mlete sladke paprike,0.25,kos
paradižnikove mezge,0.25,kos
mala pločevinka pelatov,0.25,kos
par zrn popra,1,kos
goveja jušna osnova ali voda za zalivanje,1,kos
olje,1,kos
sol in mleti poper,1,kos
lovorjev list,1,kos
