Ime sestavine, Kolicina, Enota
olivnega olja , 0.375 , kos
mlete govedine , 150.0 , g
srednje veliki čebuli , 0.25 , kos
korenčki , 0.375 , kos
stebla zelene , 0.375 , kos
česna , 0.25 , kos
paradižnikovega koncentrata , 0.125 , kos
moke , 0.25 , kos
rdečega vina , 0.01875 , l
mesne jušne osnove , 0.10625 , l
worcesterske omake , 0.375 , kos
lovorjeva lista , 0.25 , kos
svežega timijana , 0.75 , kos
krompirja , 225.0 , g
mleka , 0.0275 , l
masla , 5.0 , g
naribanega sira (npr. parmezan; gauda; čedar ipd.) , 22.5 , g
rumenjaka , 0.25 , kos
soli , 0.0625 , kos
popra , 0.03125 , kos
naribanega muškatnega oreščka , 0.25 , kos
