Ime sestavine, Kolicina, Enota
olivnega olja , 0.4 , kos
manjša čebula , 0.2 , kos
1-2 stroka česna , 1 , kos
paradižnika v koščkih v pločevinki (2 pločevinki) , 160.0 , g
mešanice italijanskih začimb (bazilika; origano; rožmarin ipd.) , 0.3 , kos
soli , 0.2 , kos
vode (približno) , 0.03 , l
svedrčkov (lahko tudi peresniki ali makaroni) , 50.0 , g
veliki pločevinki tune v olju ali naravnem soku (približno 360 g) , 0.4 , kos
naribanega sira; ki se dobro topi (mocarela; sir za pico; gauda; edamec ipd.) , 30.0 , g
