Ime sestavine, Kolicina, Enota
olivnega olja , 0.3333333333333333 , kos
srednje velika čebula , 0.16666666666666666 , kos
česna , 0.5 , kos
mletega mesa , 125.0 , g
paradižnikovega koncentrata , 0.3333333333333333 , kos
paradižnika v koščkih iz pločevinke (1 pločevinka) , 66.66666666666667 , g
lovorjev list , 0.16666666666666666 , kos
sol; mleti poper; timijan; origano (po okusu) , 1 , kos
krompirja , 166.66666666666666 , g
masla , 5.0 , g
moke , 5.0 , g
mleka , 0.1 , l
naribanega parmezana , 8.333333333333334 , g
sol; mleti poper; muškatni orešček (po okusu) , 1 , kos
rumenjaka , 0.3333333333333333 , kos
naribanega parmezana (za posip) , 8.333333333333334 , g
