Ime sestavine, Kolicina, Enota
piščančjih beder (brez kosti in kože) , 125.0 , g
česna , 0.5 , kos
jabolčnega ali belega vinskega kisa , 0.125 , kos
limoninega soka , 0.375 , kos
olivnega olja , 0.125 , kos
grškega jogurta , 0.375 , kos
suhega origana , 0.125 , kos
sol in mleti poper (po okusu) , 1 , kos
kumara , 0.25 , kos
česna , 0.25 , kos
grškega jogurta , 37.5 , g
limoninega soka , 0.125 , kos
olivnega olja , 0.125 , kos
sol in mleti poper , 1 , kos
češnjevega paradižnika , 25.0 , g
kumara , 0.25 , kos
manjše rdeče čebule , 0.125 , kos
sol in mleti poper , 1 , kos
večnamenske moke , 65.0 , g
pecilnega praška , 0.375 , kos
soli , 0.25 , kos
olivnega olja , 0.5 , kos
javorjevega sirupa (ali sladkorja) , 0.25 , kos
hladne vode , 0.0375 , l
