Ime sestavine,Kolicina,Enota
svežega listnatega testa v rolici,41.666666666666664,g
srednje velikih; na soncu dozorenih paradižnikov,0.8333333333333334,kos
sol,1,kos
kremnega sira (sirni namaz; kremni namaz s smetano; pasirana skuta ipd.),41.666666666666664,g
sesekljanih svežih zelišč (timijan; rožmarin; origano; bazilika ipd.),0.3333333333333333,kos
mleti česen (po želji),1,kos
naribana (bio) limonina lupinica (po želji),1,kos
olivno olje,1,kos
sveže mleti poper,1,kos
razžvrkljano jajce (za premaz testa),1,kos
