Ime sestavine, Kolicina, Enota
moke , 33.333333333333336 , g
sladkorja , 16.666666666666668 , g
pecilnega praška , 0.08333333333333333 , kos
mletega cimeta , 0.08333333333333333 , kos
mletega cimeta , 0.08333333333333333 , kos
zmehčanega masla , 16.666666666666668 , g
jajce , 0.08333333333333333 , kos
vanilijevega ekstrakta ali arome , 0.08333333333333333 , kos
sliv , 41.666666666666664 , g
koruznega škroba , 0.3333333333333333 , kos
sok polovice limone , 1 , kos
naribana limonina lupinica , 1 , kos
sladkor v prahu za posipanje , 1 , kos
