Ime sestavine, Kolicina, Enota
moke , 20.833333333333332 , g
pecilnega praška , 0.08333333333333333 , kos
sladkorja , 8.333333333333334 , g
hladnega masla , 12.5 , g
rumenjaki , 0.25 , kos
naribana lupinica ene (bio) limone , 1 , kos
skute , 41.666666666666664 , g
kisle smetane , 8.333333333333334 , g
sladkorja , 8.333333333333334 , g
pšeničnega zdroba , 0.16666666666666666 , kos
vanilijevega ekstrakta , 0.08333333333333333 , kos
naribana lupinica ene (bio) limone , 1 , kos
beljaki , 0.25 , kos
