Ime sestavine, Kolicina, Enota
maslo in moka za pekač , 1 , kos
jajca , 0.5 , kos
jogurtov lonček sladkorja (približno 150 g; po želji tudi več) , 1 , kos
vanilijevega sladkorja , 0.16666666666666666 , kos
1 lonček jogurta (180 g) , 1 , kos
naribana (bio) limonina lupinica , 1 , kos
2 jogurtova lončka moke (približno 200 g) , 1 , kos
pecilnega praška , 0.08333333333333333 , kos
svežih ali delno odmrznjenih borovnic (2 jogurtova lončka) , 50.0 , g
1 lonček kisle smetane , 1 , kos
koruznega škroba , 0.16666666666666666 , kos
limoninega soka , 0.16666666666666666 , kos
sladkorja (po potrebi tudi več) , 0.5 , kos
sladkor v prahu za posip , 1 , kos
