Ime sestavine, Kolicina, Enota
pšeničnega zdroba (1 jogurtov lonček) , 18.75 , g
ostre moke (pol jogurtovega lončka) , 12.5 , g
kakava (2 žlici) , 2.5 , g
sladkorja (1 jogurtov lonček) , 22.5 , g
mletih lešnikov (1 jogurtov lonček) , 12.5 , g
jabolka , 0.5 , kos
limoninega soka , 0.125 , kos
mletega cimeta , 0.125 , kos
jajci , 0.25 , kos
olja (3/4 jogurtovega lončka) , 0.01875 , l
jogurta (1.5 jogurtovega lončka) , 0.03125 , l
čokolade za kuhanje , 18.75 , g
sladke smetane , 0.00625 , l
masla , 6.25 , g
