Ime sestavine,Kolicina,Enota
moke,25.0,g
pecilnega praška,0.08333333333333333,kos
soli,0.08333333333333333,kos
zmehčanega masla (ogreto na sobno temperaturo),16.666666666666668,g
sladkorja v prahu,8.333333333333334,g
drobno naribana lupinica (bio) limone,1,kos
veliko jajce,0.08333333333333333,kos
rumenjak,1,kos
kristalnega sladkorja,8.333333333333334,g
škroba,2.5,g
rumenjakov,0.4166666666666667,kos
mleka,0.041666666666666664,l
naribana lupinica ene (bio) limone,1,kos
hladnega masla,2.5,g
vanilijeve arome,0.08333333333333333,kos
jajce,0.08333333333333333,kos
vode,0.08333333333333333,kos
pinjol,4.166666666666667,g
sladkor v prahu za posip,1,kos
