Ime sestavine,Kolicina,Enota
maslo za namastitev pekača,1,kos
moke,11.666666666666666,g
sladkorja,10.0,g
vaniljevega sladkorja,0.16666666666666666,kos
mletega cimeta,0.041666666666666664,kos
soli,0.16666666666666666,kos
jajca,0.5,kos
rumenjak,0.16666666666666666,kos
mleka,0.04,l
masla,8.333333333333334,g
kiselkasti jabolki,0.3333333333333333,kos
sladkorja,0.3333333333333333,kos
drobno naribane limonine lupinice,0.08333333333333333,kos
mandljevih lističev,8.333333333333334,g
sladkor v prahu za posip,1,kos
