Ime sestavine,Kolicina,Enota
jajca,0.25,kos
sladkorja,10.0,g
vanilijev sladkor,0.08333333333333333,kos
olja,0.008333333333333333,l
mleka,0.008333333333333333,l
moke,12.5,g
pecilnega praška,0.041666666666666664,kos
soli,0.08333333333333333,kos
jabolk,83.33333333333333,g
sladkorja,0.25,kos
vode,0.08333333333333333,l
vanilijevega pudinga,0.16666666666666666,kos
voda; v kateri so se kuhala jabolka,1,kos
sladke smetane za stepanje,0.016666666666666666,l
kakav v prahu ali čokoladni ostružki za dekoracijo,1,kos
