Ime sestavine, Kolicina, Enota
olja , 0.5 , kos
srednje čebule , 0.25 , kos
česna , 1.0 , kos
kosov jagnječjega mesa s kostmi , 200.0 , g
korenčka , 1.0 , kos
pora , 0.5 , kos
peteršiljeve korenine , 0.25 , kos
posušenega timijana (lahko tudi šetraj) , 1 , kos
belega vina , 0.025 , l
brokolijevih cvetk , 0.5 , kos
zamrznjenega stročjega fižola , 0.5 , kos
zamrznjenega graha , 0.5 , kos
sol in mleti poper po okusu , 1 , kos
srednje veliko jajce , 0.5 , kos
vode , 0.075 , l
soli , 1.0 , kos
olja , 0.5 , kos
moke (po ostre; pol gladke) , 90.0 , g
