Ime sestavine, Kolicina, Enota
jagnječja zarebrnica , 1 , kos
bučna semena , 1 , kos
med , 1 , kos
črni česen , 1 , kos
sol; poper; bazilika , 1 , kos
olivno olje , 1 , kos
maslena buča , 0.5 , kos
olivno olje , 1 , kos
čili , 1 , kos
limetin sok , 1 , kos
sol , 1 , kos
mleko , 1 , kos
maslo , 1 , kos
polenta , 1 , kos
sol , 1 , kos
smetana za kuhanje , 1 , kos
nariban parmezan , 1 , kos
čebula , 1 , kos
pomarančni sok , 1 , kos
baby korenje , 1 , kos
česen , 1 , kos
brinove jagode , 1 , kos
janeževa zvezda , 0.5 , kos
rdeče vino , 1 , kos
slanine , 2.0 , kos
olivno olje , 1 , kos
šparglji , 1 , kos
sol in poper , 1 , kos
