Ime sestavine, Kolicina, Enota
jagnječja zarebrnica z 9 kostmi , 1 , kos
gorčica , 1 , kos
krušnih drobtin , 33.333333333333336 , g
tartufate , 0.3333333333333333 , kos
nekaj rezin tartufa , 1 , kos
parmezan , 1 , kos
srednje veliki krompirji , 1.3333333333333333 , kos
masla , 10.0 , g
mleko , 1 , kos
vanilijev strok , 0.3333333333333333 , kos
kuhana koruza , 0.3333333333333333 , kos
mladi grah , 1 , kos
malo masla za sotiranje , 1 , kos
demiglaze , 1 , kos
črnega česna , 0.3333333333333333 , kos
sol in mleti poper , 1 , kos
