Ime sestavine, Kolicina, Enota
ostre moke , 16.666666666666668 , g
masla , 5.833333333333333 , g
sladkorja , 4.166666666666667 , g
rumenjak , 0.08333333333333333 , kos
soli , 0.08333333333333333 , kos
maskarponeja , 20.833333333333332 , g
kisle smetane , 16.666666666666668 , g
jajci , 0.16666666666666666 , kos
škroba (gustin) , 0.16666666666666666 , kos
sladkorja , 0.16666666666666666 , kos
limona (lupina in sok) , 0.08333333333333333 , kos
beljakov , 20.833333333333332 , g
sladkorja v prahu , 20.833333333333332 , g
jagodne marmelade , 0.16666666666666666 , kos
svežih jagod , 20.833333333333332 , g
