Ime sestavine,Kolicina,Enota
ješprenja,50.0,g
masla,0.5,kos
šalotka,0.25,kos
česna,0.5,kos
dimljenega svinjskega vratu,25.0,g
jušna osnova,1,kos
sol in poper,1,kos
timijan; peteršilj,1,kos
krompir,0.25,kos
gomoljne zelene,0.125,kos
jušna osnova,1,kos
sol in poper,1,kos
masla,0.5,kos
sladke smetane,0.25,kos
rjavega fižola iz pločevinke,50.0,g
masla,0.5,kos
kisle smetane,0.75,kos
sol in poper,1,kos
sladkor,1,kos
jušne osnove,0.0075,l
peteršilj,1,kos
rdeča čebula,0.25,kos
belega balzamičnega kisa,0.05,l
vode,0.05,l
sladkorja,0.75,kos
soli,0.25,kos
timijana,0.5,kos
polovica kranjske klobase,1,kos
mladega korenja,100.0,g
masla,0.5,kos
olivnega olja,0.5,kos
sol in poper,1,kos
timijana,1.25,kos
jušne osnove,100.0,g
