Ime sestavine,Kolicina,Enota
olja,0.75,kos
srednja čebula,0.25,kos
srednje velika korenčka,0.5,kos
pora (beli del),0.25,kos
ješprenjčka,1.0,kos
1-2 žlici paradižnikovega koncentrata,1,kos
posušenih gob,0.25,kos
česna,0.5,kos
srednje veliki jurčki (po želji tudi več),1.0,kos
lovorjeva lista,0.5,kos
suhega timijana,0.125,kos
suhega majarona,0.125,kos
nekaj celih poprovih zrn,1,kos
belega vina (po želji),0.0125,l
voda po potrebi,1,kos
sol in sveže mleti poper (po okusu),1,kos
nasekljan svež drobnjak ali peteršilj,1,kos
kisla smetana (po želji),1,kos
