Ime sestavine, Kolicina, Enota
maslenih piškotov , 20.0 , g
masla , 10.0 , g
grškega jogurta , 66.66666666666667 , g
kremnega sira (sirni namaz) , 16.666666666666668 , g
maskarpone sira , 25.0 , g
bele čokolade , 16.666666666666668 , g
sladkorja v prahu (po želji tudi več) , 0.25 , kos
želatine v prahu (5 g) , 0.08333333333333333 , kos
hladne vode , 0.3333333333333333 , kos
svežih ali zamrznjenih borovnic , 33.333333333333336 , g
vanilijevega sladkorja , 0.3333333333333333 , kos
sladkorja , 0.16666666666666666 , kos
sok polovice limone , 1 , kos
