Ime sestavine,Kolicina,Enota
maslenih piškotov,20.0,g
masla,8.333333333333334,g
mleka,0.16666666666666666,kos
kremnega sira (sirni namaz; kremni sirček),16.666666666666668,g
grškega jogurta (lahko tudi jogurt na grški način),66.66666666666667,g
sladkorja v prahu (po želji tudi več),16.666666666666668,g
limoninega soka,0.16666666666666666,kos
naribane limonine lupinice (bio limona),0.16666666666666666,kos
želatine v prahu,2.0,g
hladne vode,1.0,kos
sladke smetane,0.025,l
500-700 ml vode,1,kos
4-5 žlic sladkorja,1,kos
limoninega soka,0.16666666666666666,kos
vanilijevega stroka,0.08333333333333333,kos
svežih marelic (ali 250 g kuhanih in olupljenih polovičk oziroma odcejenih polovičk iz kompota),66.66666666666667,g
cvetličnega medu (lahko tudi sladkor v prahu),0.16666666666666666,kos
želatine v prahu,0.8333333333333334,g
