Ime sestavine,Kolicina,Enota
breskve,1.0,kos
borovnic (po želji),0.3333333333333333,kos
drobnih ovsenih kosmičev (lahko so tudi navadni),26.666666666666668,g
kokosa,6.666666666666667,g
mletih lanenih semen (po želji),0.3333333333333333,kos
kokosovega sladkorja (po želji in potrebi tudi več),0.6666666666666666,kos
mletega cimeta (po želji),0.16666666666666666,kos
polnozrnate pirine moke,13.333333333333334,g
kokosove maščobe + dodatno za namastitev pekača,13.333333333333334,g
mandljevih lističev (po želji),0.3333333333333333,kos
kokosov jogurt,1,kos
