Ime sestavine, Kolicina, Enota
piščančjih krač , 1.0 , kos
olja , 0.3333333333333333 , kos
sol; mleti poper; mleta sladka paprika , 1 , kos
moke , 58.333333333333336 , g
kisle smetane (1/2 lončka) , 15.0 , g
manjši jajci (ali eno večje) , 0.3333333333333333 , kos
jogurta , 0.016666666666666666 , l
vode , 0.03333333333333333 , l
mleka , 0.016666666666666666 , l
soli , 0.16666666666666666 , kos
olje za namastitev pekača , 1 , kos
masla , 0.3333333333333333 , kos
mleka za zalivanje , 0.016666666666666666 , l
kisla smetana za serviranje , 1 , kos
