Ime sestavine, Kolicina, Enota
gladke moke (tip 500) , 62.5 , g
soli , 0.08333333333333333 , kos
toplega mleka , 0.020833333333333332 , l
svežega kvasa , 0.08333333333333333 , kos
sladkorja , 6.666666666666667 , g
jajca , 0.25 , kos
stopljenega masla , 8.333333333333334 , g
limonina lupinica , 1 , kos
vanilijevega sladkorja , 0.08333333333333333 , kos
praška za vanilijev puding , 0.16666666666666666 , kos
mleka , 0.07083333333333333 , l
sladkorja , 13.333333333333334 , g
vanilijevega sladkorja , 0.08333333333333333 , kos
kokosove moke , 11.666666666666666 , g
čokoladnih kapljic (temna; mlečna ali bela) , 16.666666666666668 , g
