Ime sestavine, Kolicina, Enota
masla , 6.25 , g
jajca , 0.25 , kos
sladkorja , 8.333333333333334 , g
vanilijevega sladkorja , 0.08333333333333333 , kos
mleka , 0.008333333333333333 , l
olja , 0.005416666666666667 , l
moke , 14.583333333333334 , g
pecilnega praška , 0.8333333333333334 , g
mleka , 0.03333333333333333 , l
sladkorja , 4.166666666666667 , g
koruznega škroba , 4.166666666666667 , g
sladke smetane , 0.0125 , l
bele čokolade , 8.333333333333334 , g
kokosove moke , 3.3333333333333335 , g
mleka , 0.020833333333333332 , l
sladkorja , 4.166666666666667 , g
kokosova moka za posip , 1 , kos
poljubna dekoracija (sadje; kokosove kroglice) , 1 , kos
