Ime sestavine, Kolicina, Enota
zmehčanega masla , 13.333333333333334 , g
sladkorja , 10.0 , g
vanilijevega sladkorja , 0.1111111111111111 , kos
drobno naribana lupinica ene (bio) limone , 1 , kos
veliki rumenjaki , 0.3333333333333333 , kos
kokosa , 2.2222222222222223 , g
moke , 13.333333333333334 , g
pecilnega praška , 0.16666666666666666 , kos
soli , 0.1111111111111111 , kos
mleka , 0.008888888888888889 , l
čvrstih zrelih sliv , 50.0 , g
veliki beljaki , 0.3333333333333333 , kos
soli , 0.1111111111111111 , kos
sladkorja , 16.666666666666668 , g
belega vinskega kisa (lahko tudi limonin sok) , 0.1111111111111111 , kos
vanilijeve arome , 0.1111111111111111 , kos
koruznega škroba (gustin) , 0.1111111111111111 , kos
