Ime sestavine,Kolicina,Enota
jajca,0.3333333333333333,kos
korenja,4.166666666666667,g
pomaranča,0.08333333333333333,kos
kokosove moke,0.8333333333333334,g
sladkorja,5.833333333333333,g
olja,0.25,kos
vanilijevega ekstrakta,0.041666666666666664,kos
moke,4.166666666666667,g
pecilnega praška,0.08333333333333333,kos
mletega cimeta,0.020833333333333332,kos
muškatnega oreščka,0.08333333333333333,kos
soli,0.08333333333333333,kos
jabolčnega kisa (ali limonin sok),0.041666666666666664,kos
maskarponeja,10.0,g
smetane za stepanje,0.020833333333333336,l
želatine fix,0.4166666666666667,g
sladkorja v prahu,4.166666666666667,g
vanilijevega ekstrakta,0.041666666666666664,kos
