Ime sestavine, Kolicina, Enota
koruzne moke (ne koruzni zdrob) , 50.0 , g
pecilnega praška , 0.16666666666666666 , kos
sol (po okusu) , 1 , kos
jogurta , 66.66666666666667 , g
mleka , 0.03333333333333333 , l
jajca , 0.5 , kos
bučka; narezana na kockice , 0.16666666666666666 , kos
manjša naribana korenčka , 0.3333333333333333 , kos
feta sira (ni obvezno) , 16.666666666666668 , g
olje za pekač , 1 , kos
jajci , 0.3333333333333333 , kos
kisle smetane (majhen lonček) , 30.0 , g
jogurta , 0.016666666666666666 , l
mleka , 0.016666666666666666 , l
sol , 1 , kos
