Ime sestavine, Kolicina, Enota
25 košaric iz krhkega testa , 1 , kos
karamelizirani lešniki za dekoracijo , 1 , kos
vroče sladke smetane , 0.0125 , l
bele čokolade , 8.333333333333334 , g
lista želatine , 0.125 , kos
vanilijevega sladkorja , 0.08333333333333333 , kos
domačega ruma , 0.8333333333333334 , g
cimet po okusu , 1 , kos
hladne sladke smetane , 0.0125 , l
kristalnega sladkorja , 6.666666666666667 , g
masla , 3.3333333333333335 , g
srednje veliki jabolki , 0.16666666666666666 , kos
vode , 0.016666666666666666 , l
koruznega škroba , 1.6666666666666667 , g
cimet po okusu , 1 , kos
