Ime sestavine, Kolicina, Enota
zamrznjenih višenj , 50.0 , g
sladkorja , 0.5 , kos
koruznega škroba , 0.16666666666666666 , kos
vode , 0.3333333333333333 , kos
vanilijevega ekstrakta , 0.16666666666666666 , kos
kuhanega kostanja , 33.333333333333336 , g
smetane za kuhanje , 0.03333333333333333 , l
sladkorja , 0.6666666666666666 , kos
ruma , 0.25 , kos
vanilijevega ekstrakta , 0.16666666666666666 , kos
listi želatine , 0.5 , kos
sladke smetane za stepanje , 0.03333333333333333 , l
bele čokolade , 16.666666666666668 , g
sladke smetane za stepanje , 0.03333333333333333 , l
list želatine , 0.16666666666666666 , kos
