Ime sestavine, Kolicina, Enota
govejih kosti (najboljša je kombinacija mozgovih in zglobnih kosti) , 120.0 , g
olivno olje , 1 , kos
manjša juha , 0.1 , kos
piščančje perutničke , 0.4 , kos
manjše kolerabe , 0.05 , kos
manjše zelene , 0.05 , kos
oranžni korenčki , 0.4 , kos
rumena korenčka , 0.2 , kos
korenina peteršilja , 0.1 , kos
česna , 0.3 , kos
por , 0.1 , kos
šalotka , 0.1 , kos
vejice peteršilja , 1 , kos
brokolija , 10.0 , g
cvetače , 10.0 , g
celih zrn črnega popra , 10.0 , g
majarona , 0.05 , kos
timijana , 0.05 , kos
lovorjeva lista , 0.2 , kos
sol , 1 , kos
