Ime sestavine, Kolicina, Enota
olivnega olja , 0.3333333333333333 , kos
srednje velika čebula , 0.16666666666666666 , kos
korenčka , 0.3333333333333333 , kos
česna , 0.3333333333333333 , kos
stebli zelene , 0.3333333333333333 , kos
masla , 0.3333333333333333 , kos
zelenjavne ali kokošje jušne osnove , 0.16666666666666666 , l
posušenega timijana , 0.16666666666666666 , kos
italijanske začimbne mešanice , 0.16666666666666666 , kos
soli , 0.16666666666666666 , kos
mletega popra , 0.041666666666666664 , kos
moke , 5.0 , g
mleka , 0.041666666666666664 , l
sladke smetane , 0.041666666666666664 , l
sirovih tortelinov , 56.666666666666664 , g
mlade špinače , 16.666666666666668 , g
