Ime sestavine, Kolicina, Enota
moke , 16.666666666666668 , g
sladkorja v prahu , 5.833333333333333 , g
soli , 0.08333333333333333 , kos
hladnega masla , 9.166666666666666 , g
jajce , 0.08333333333333333 , kos
kisle smetane , 33.333333333333336 , g
crème fraîche (ali mileram) , 16.666666666666668 , g
sladke smetane za stepanje , 16.666666666666668 , g
jajca , 0.25 , kos
koruznega škroba (gustin) , 3.3333333333333335 , g
sladkorja , 6.666666666666667 , g
vanilijevega sladkorja , 0.16666666666666666 , kos
drobno naribana limonina lupinica (po želji) , 1 , kos
