Ime sestavine,Kolicina,Enota
masla,16.666666666666668,g
sladkorja,8.333333333333334,g
vanilijevega sladkorja,0.08333333333333333,kos
rumenjak,0.08333333333333333,kos
kisle smetane,0.16666666666666666,kos
ostre moke,33.333333333333336,g
soli,0.08333333333333333,kos
jagod (lahko tudi zamrznjene),41.666666666666664,g
sladkorja,0.3333333333333333,kos
vanilijev sladkor,0.08333333333333333,kos
par vejic sveže melise (po želji),1,kos
mleti orehi; lešniki ali mandlji (po potrebi),1,kos
sladkor v prahu za posip,1,kos
