Ime sestavine, Kolicina, Enota
gladke moke , 31.25 , g
pecilnega praška , 0.125 , kos
soli , 0.125 , kos
sladkorja v prahu , 6.25 , g
hladnega; na kose narezanega masla , 15.0 , g
jajce , 0.125 , kos
rumenjak , 0.125 , kos
mleka , 0.05 , l
sladkorja , 0.625 , kos
vanilijevega pudinga (prašek) , 0.125 , kos
beljak , 0.125 , kos
kisle smetane , 22.5 , g
300-400 g svežih jagod , 1 , kos
vanilijevega sladkorja (lahko tudi manj; če so jagode zelo sladke) , 0.25 , kos
sladkor v prahu za posip , 1 , kos
